id,description,description_legacy,material_id,long_description,family_ids,createdAt,updatedAt
1,"#1 Plastic Bags"," ",445," Plastic bags are used to transport products or to seal foods. #1 Plastic bags may be difficult to recycle because they have limited markets.",NULL,NULL,NULL
2,"#1 Plastic Beverage Bottles"," #1 Plastic (PETE)",60," PETE bottles have a narrow neck and are included in state bottle deposit laws. They can be clear or colored.",NULL,NULL,NULL
3,"#1 Plastic Clamshells"," ",446," Clamshells are wide-mouth containers used to package food or other products. They can be clear or colored.",NULL,NULL,NULL
4,"#1 Plastic Film"," ",447," Plastic film is a thin layer of plastic often used to seal foods. It has a limited recycling market once its come in contact with food.",NULL,NULL,NULL
5,"#1 Plastic Non-Beverage Bottles"," ",449," These are often used as cleaning bottles. Remove pumps before recycling.",NULL,NULL,NULL
6,"#1 Plastic Trays"," ",450," Most recyclers require that trays are clean and intact to be collected for recycling.",NULL,NULL,NULL
7,"#1 Rigid Plastics"," ",448," Rigid plastics are wide-mouth containers used to package food or other products.",NULL,NULL,NULL
8,"#2 Plastic Bags"," Plastic Bags",93," HDPE bags are used when you check out at a retail location and are often accepted for recycling at these retailers.",NULL,NULL,NULL
9,"#2 Plastic Bottles"," ",455," HDPE bottles are typically opaque and used for shampoo bottles, detergent bottles and household cleaning containers.",NULL,NULL,NULL
10,"#2 Plastic Caps"," ",619," Plastic caps can typically be left on the bottle for recycling.",NULL,NULL,NULL
11,"#2 Plastic Clamshells"," ",452," #2 plastic clamshell containers are common wide-mouthed packaging used for food or other products. They can be clear or colored.",NULL,NULL,NULL
12,"#2 Plastic Film"," ",413," Plastic film is a thin layer of plastic often used to seal foods. It has a limited recycling market once it has come in contact with food.",NULL,NULL,NULL
13,"#2 Plastic Jugs - Clear"," #2 Plastic (HDPE Clear)",62," HDPE jugs are different than HDPE bottles and their color helps determine the recycling market.",NULL,NULL,NULL
14,"#2 Plastic Jugs - Colored"," #2 Plastic (HDPE Colored)",61," HDPE jugs are different than HDPE bottles and their color helps determine the recycling market.",NULL,NULL,NULL
